Entity,Year,Maize Production (tonnes),Rice  Production (tonnes),Yams  Production (tonnes),Wheat Production (tonnes),Tomatoes Production (tonnes),Tea  Production ( tonnes ),Sweet potatoes  Production (tonnes),Sunflower seed  Production (tonnes),Sugar cane Production (tonnes),Soybeans  Production (tonnes),Rye  Production (tonnes),Potatoes  Production (tonnes),Oranges  Production (tonnes),"Peas, dry Production ( tonnes)",Palm oil  Production (tonnes),Grapes  Production (tonnes),"Coffee, green Production ( tonnes)",Cocoa beans Production (tonnes),"Meat, chicken  Production (tonnes)",Bananas  Production ( tonnes),Avocados Production (tonnes),Apples Production (tonnes),Total Precipitation (mm),Average Temperature (degree Celsius),Total Arable Land (hectares),Fertilizer Consumption (kilograms per hectare),GDP (million $),Population (people),Total Production (tonnes)
Vietnam,1988,814850,57070977.8,14.2,59280,1744137,2200,1319230.6,382601.8,29911489.6,100070838,5579.042,1077420,544100.988,5800,9668347,1028993,142312.6,23260,1976036,696619.44,90570.608,465414.902,1652.94,24.56,5460000,105.520696,29501,62843228,"207,100,072.58"
Vietnam,1989,837900,330942.2,18.52,2010.4,1556267,470,36681.48,384906,11864484.8,100087838,8578.524,712574,348325.588,5951.062,10389021.2,1028993,142355.8,23880,2364371,881580.4,90732.808,465609.4,1632.9,24.59,5400000,104.2564815,7991,64147348,"131,563,491.18"
Vietnam,1990,671000,266576.4,23.12,1265.2,1540516,1128.6,11695,404098.2,6039591.6,71417572,10378,342834,157357.988,1286551.062,11253200.6,6140558.8,111531.2,20260,2584425,851738.2,152181.296,353775,1857.97,24.87,5339000,104.9408129,8217,65504552,"103,618,257.27"
Vietnam,1991,672000,333128.188,28.12,2540.2,1619594,1663,21323.8,284878.4,12304956,71417572,10142.2,700554,356187.228,1286551.062,12225621.4,6140558.8,111531.2,16600,2796504,1010567,115415.4,353775,1689.63,24.91,5368000,145.6594635,9704,66891775,"111,781,691.00"
Vietnam,1992,747900,630429.888,23.72,2335621,1787697,1487.8,24298.712,281943,12303228.6,71417572,10120.2,715014,357016.828,1286551.062,11512698.8,6140558.8,111531.2,20260,2736512,830170.2,115332.6,353775,1648.07,24.51,5506000,139.193607,12528,68260337,"113,719,742.41"
Vietnam,1993,882200,343960.188,18.52,2720.8,1846319,882.2,21443.4,404098.2,12304711.2,106217520,8578.524,700714,356247.228,1287119.2,10389021.2,6495223.2,159148,23880,2533042,908676.6,152181.296,498198.2,1621.31,24.58,5516000,136.7113851,16736,69586384,"145,535,902.96"
Vietnam,1994,1143900,333128.188,23.72,2540.2,1837960,565.2,21323.8,503101.2,12304956,137450504,10120.2,700554,356187.228,1286820,11512698.8,6829809.2,202516.6,20260,2708644,1010567,176043.208,661162.4,1924.05,24.78,5464000,216.8557833,20712,70854391,"179,073,384.94"
Vietnam,1995,1177200,251288.588,23.72,2034.4,1818292,1844.4,9748.4,404098.2,6272322.59,106225520,10120.2,359406,205689.24,1287091.862,11512698.8,6495223.2,159136.2,20260,2920340,979979.83,152181.296,498046,1744.15,24.56,5403000,226.485286,26407,72049940,"140,762,544.93"
Vietnam,1996,1536700,255669.988,91941.36,1912.8,1758859,1141.4,9748.4,421028.4,6269884.112,106202900.6,2935,359836.8,205829.24,1286920,6590636.8,6499003.2,169863,48312.6,3269541,807319.83,150839.096,498273,1852.47,24.34,5554000,267.2848398,31352,73156447,"136,439,095.63"
Vietnam,1997,1650600,257347.388,91924.4,1885,1725164,2454.2,9748.4,304238.4,6268486.35,71217908.6,2675,360052.8,206283.64,5340,7301723.2,706733.6,115495.6,49612.6,3520236,636607.43,113352.4,316783.4,1793.09,24.75,5668000,259.6506704,34146,74226889,"94,864,652.41"
Vietnam,1998,1612000,257347.388,65573.76,1885,1827920,2454.2,9748.4,303055.6,6268486.35,71219547.2,4120.2,360052.8,206283.64,5716.2,10703147.2,702909.6,114055,33638.6,3426171,636607.43,114190.2,316676.96,1712.69,25.43,5763000,322.2106542,34580,75299660,"98,191,586.73"
Vietnam,1999,1753100,176598.6,150664.4,278.6,1621405,1976.6,0,167963.724,3020.35,37734025.36,23327.6,2072.8,7394.4,56047.6,141456.4,6273675.8,74343.8,53830.6,3782365,581359.43,86037.4,2898760.2,1899.74,24.56,6000000,342.9333333,36444,76287452,"55,589,703.66"
Vietnam,2000,2005900,209600,180349.4,116.4,1693993,4383,0,181144.2,271435899.8,37610571.8,41261.2,3950.8,10619.934,822884,149523.552,492011,84341.6,122788.6,4352120,68000,86351.2,595049.8,1710.02,24.5,6200000,365.6451613,39585,77154011,"320,150,859.29"
Vietnam,2001,2161700,243317.412,201388.4,23,1792195.9,5007.4,0,70725.2,481442904,969551,4645.8,4614.4,11643.734,1836373,3140,621180,33980.8,239231.4,4818925,69000,739.6,813957.04,1923.21,24.71,6649000,286.7348473,41297,77969361,"495,344,243.09"
Vietnam,2002,2511200,264422.212,208968.4,16,1822807,2339,0,68216.8,515005318,969371,4647,4244.6,9603.6,1836453,3080,622180,35540.8,245769,5400404,68000,739.6,813936.64,1891.02,24.84,6600000,295.4877348,44563,78772224,"529,897,256.65"
Vietnam,2003,3136300,354891.012,6986745.4,6088302.8,1685231,3158.4,7209.2,236616.8,438541360,25332.2,4647,756203,118369.4,15900,3080,12936386,35513.462,714534.4,5874848,1159933.58,8555.4,1438831.4,1632.2,24.9,6581000,332.9292509,50233,79563777,"480,131,948.45"
Vietnam,2004,3430900,651298,21399220.4,18140,1741035,3928.6,100,555436.4,483368248,69696,382.2,268363.6,5635.526,38949.596,2434.8,66914.176,26750.986,1797270,6751033,71200,28315.4,66768.8,1626,24.61,6469500,367.8145946,62877,80338971,"520,362,020.48"
Vietnam,2005,3787100,1015513.8,21395720.4,36540,1692474,3928.6,200,561289.2,392399990,73016,382.2,532602.8,7259.926,38569.596,2434.8,12965060.18,15966.986,1824166.6,6776345,69200,28315.4,1479515,1801.26,24.8,6358000,339.6487182,73197,81088313,"444,705,590.49"
Vietnam,2006,3854500,1399368.6,36580873.2,59600,1779507,4363.2,300,928600,319798258,145263.2,908.2,796036.6,9099.578,54800,3191.726,58688,184.242,3096882.6,7298803,70200,44274.8,99728,1743.58,24.92,6348000,342.972396,84301,82167897,"376,083,429.95"
Vietnam,2007,4303200,1792882.4,36921217.2,78020,1873021,6317,400,875881.4,241330450,122477.2,388.1,1078522.6,10698.098,56800,2988.272,58692,170.626,3092753,7916781,70600,46405.8,128420,1762.21,24.61,6309600,403.5177697,98426,83633375,"299,767,085.70"
Vietnam,2008,4573100,2219230.2,38467657.6,105240,1799806,6325.6,500,914281.4,155810330,114398,83.694,1382478,14993.148,55800,2320,37956,159.766,3215575.8,8834727,72000,45129.8,157415,1945.05,24.18,6282500,303.4636403,124756,85175788,"217,829,507.01"
Vietnam,2009,4371700,2243870.2,39516110.4,105980,1678112,7327.2,500,967881.4,150282542,129506.4,110.894,1397612.08,15597.022,49600,27138.2,16932,158.92,3314897.4,9453123,74000,44481.6,157035,1625.07,24.8,6300000,443.7764349,129022,86460018,"213,854,215.72"
Vietnam,2010,4606800,2297200,43296296.8,125280,1624840,8528.6,500,1039706.4,161471534,142764.2,89.494,1395990.78,17330.602,58200,3472.4,84,135.64,2971247.6,10001927,77000,46949.4,216491.4,1647.79,25.06,6437400,365.25343,143212,87455152,"229,402,368.32"
Vietnam,2011,4835717,2348008.6,44611424,134900,1718450,8528.6,500,1111706.4,169729762,162301.4,89.494,1370538.38,18619.082,60000,3472.4,76,126,2545430.4,10681871,79000,56984.8,255703.6,1814.29,24.14,6437600,353.7567587,171312,88468314,"239,733,209.16"
Vietnam,2012,4973482,1941002.2,46233431.2,120340,1833061.9,9319.4,500,1214825,289199162,210963,88.708,1048204.58,15689.736,66200,4012.4,64,133,2130210.4,11275693,75556,58487.8,260661.6,1875.29,24.91,6401300,371.1376174,195169,89510356,"360,671,087.92"
Vietnam,2013,5190895.5,2500848.6,47488699.6,160260,1845620,11617.6,800,1437180,183861978,263439.6,85.388,1276752.6,19660.06,72000,4143,44,141,1290820.2,12449523,84000,65321.6,271361.6,1894.16,24.69,6422800,483.8578424,212728,90573104,"258,295,191.35"
Vietnam,2014,5202511,2455972.2,46196544,154420,1800005.8,11617.6,700,1321025,178478120,265407.2,85.388,1296130.78,19160.432,70000,4143,54,137,1717648.4,12036832,82200,65665.4,266913.2,1685.49,24.91,6409500,436.8485404,232888,91679578,"251,445,292.40"
Vietnam,2015,5287261,2550979.4,47445279.6,165220,1783822.2,11617.6,900,1509320,185806500,236573.8,85.388,1256293.4,20410,75347.8,4143,48,147,1322426.6,12826085,85800,73334.4,260608.2,1762.83,25.29,7002800,432.2736034,236795,92823254,"260,722,202.39"
Vietnam,2016,5244140.5,2471051.8,49116077.6,175600,1818266.9,11617.6,1000,1695340.2,191979900,161158,85.388,1292747.4,19818.6,75465.2,4143,56,150,1351043.4,13928378,87600,67827.302,249755.8,1791.49,25.21,6998000,424.6974407,252146,94000117,"269,751,222.69"
Vietnam,2017,5109765.5,2505111.2,58334005.2,178400,1944368.5,11617.6,1000,1950266.8,195838728,126221,101.774,1418128.6,16105,62991.4,146959,66,84,1447641.4,15585627,88800,70956.502,246479.8,1888.26,24.84,6988300,457.9861841,277071,95176977,"285,083,424.28"
Vietnam,2018,4874054,1993270.8,54563660.4,5462469.6,1940494.4,11617.6,3770.124,1873006,194463602,114350.6,101.774,1175384.32,167079.12,67123.6,146959,64,106,1388746,15668280,71300,74770.702,229882.8,1796.24,24.82,6952100,417.4360855,304470,96237319,"284,290,092.84"
Vietnam,2019,4732148.5,1550417,62384311.2,10466000,2162917.5,9460.2,6361.138,2099123.6,197203654,149945.8,21514.776,1033989.608,333126.994,60679.4,342953.8,69.8,58,1471683.8,16866724,55840,75090.302,245459.2,1638.74,25.41,6784000,427.779689,331818,97173776,"301,271,528.62"
Vietnam,2020,4558107,1975222.4,71048692.8,5157439.876,2170297.8,7392.8,4391.014,3663000.8,203693422,254351.8,64119.142,1346479.888,180585.2,56917.6,6058307.2,87.8,24,1533940.6,18055624,74340,77631.608,273670.6,1671.96,25.23,6787000,427.5906011,346310,98079191,"320,254,045.93"
Vietnam,2021,4446383,1990322.4,71048692.8,126369.276,2086126,7392.8,2200,3663000.8,203693422,254351.8,65741.052,1658756.2,11670.134,56917.6,11327356.8,87.8,24,1533940.6,18293614,133600,77631.608,273670.6,1761.22,25.04,6787000,427.5906011,370076,98935098,"320,751,271.27"
